campus_name,total_ridership
York College,43416736
The Graduate School and University Center,30500583
Hunter College,27027546
School of Labor and Urban Studies,26326810
Baruch College,25388185
Guttman Community College,24439470
New York City College of Technology,19804342
The City College of New York,18377102
Queens College,17994008
School of Public Health,16463262
Macaulay Honors College,13374764
School of Medicine,11674444
School of Journalism,10460055
Lehman College,10329134
Brooklyn College,9845406
John Jay College of Criminal Justice,7420353
School of Professional Studies,7333738
LaGuardia Community College,6925461
Hostos Community College,6843827
Kingsborough Community College,5562274
Queensborough Community College,4802881
Bronx Community College,4625853
College of Staten Island,4526488
Medgar Evers College,4204484
School of Law,3685998
Borough of Manhattan Community College,2475511
