,campus_name,borough,route_id,stop_count,total_ridership
0,Borough of Manhattan Community College,Manhattan,M20,8,487571
1,Borough of Manhattan Community College,Manhattan,M22,5,439653
2,Borough of Manhattan Community College,Manhattan,M9,1,1193381
3,Borough of Manhattan Community College,Manhattan,SIM33,1,109157
4,Borough of Manhattan Community College,Manhattan,SIM7,1,155064
5,Borough of Manhattan Community College,Manhattan,SIM9,1,90685
6,Bronx Community College,Bronx,BX3,6,1812001
7,Bronx Community College,Bronx,BX32,4,620509
8,Bronx Community College,Bronx,BX40,6,1116518
9,Bronx Community College,Bronx,BX42,6,1076825
10,Hostos Community College,Bronx,BX1,4,1869965
11,Hostos Community College,Bronx,BX19,3,3005714
12,Hostos Community College,Bronx,BX2,2,1968148
13,Kingsborough Community College,Brooklyn,B1,4,3617860
14,Kingsborough Community College,Brooklyn,B49,3,1944414
15,LaGuardia Community College,Queens,Q32,2,2408804
16,LaGuardia Community College,Queens,Q39,8,1081709
17,LaGuardia Community College,Queens,Q60,2,3434948
18,Queensborough Community College,Queens,Q27,4,4469973
19,Queensborough Community College,Queens,Q74,4,199312
20,Queensborough Community College,Queens,Q75,5,133596
21,Guttman Community College,Manhattan,BM1,1,258265
22,Guttman Community College,Manhattan,BM2,1,216993
23,Guttman Community College,Manhattan,BM3,1,187652
24,Guttman Community College,Manhattan,BM4,1,131756
25,Guttman Community College,Manhattan,BM5,1,198404
26,Guttman Community College,Manhattan,BXM2,2,218578
27,Guttman Community College,Manhattan,BXM3,1,221579
28,Guttman Community College,Manhattan,BXM4,1,132194
29,Guttman Community College,Manhattan,M1,1,2573060
30,Guttman Community College,Manhattan,M2,1,2128389
31,Guttman Community College,Manhattan,M3,1,2961938
32,Guttman Community College,Manhattan,M42,2,2524345
33,Guttman Community College,Manhattan,M5,4,1731771
34,Guttman Community College,Manhattan,M55,4,575794
35,Guttman Community College,Manhattan,M7,3,2617369
36,Guttman Community College,Manhattan,QM1,1,57993
37,Guttman Community College,Manhattan,QM10,1,47033
38,Guttman Community College,Manhattan,QM12,1,56738
39,Guttman Community College,Manhattan,QM15,1,445248
40,Guttman Community College,Manhattan,QM16,1,110347
41,Guttman Community College,Manhattan,QM17,1,121072
42,Guttman Community College,Manhattan,QM18,1,39494
43,Guttman Community College,Manhattan,QM2,1,260196
44,Guttman Community College,Manhattan,QM20,1,204400
45,Guttman Community College,Manhattan,QM24,1,131152
46,Guttman Community College,Manhattan,QM4,1,120267
47,Guttman Community College,Manhattan,QM5,1,325376
48,Guttman Community College,Manhattan,QM6,1,167307
49,Guttman Community College,Manhattan,SIM10,2,438147
50,Guttman Community College,Manhattan,SIM1C,2,1114532
51,Guttman Community College,Manhattan,SIM22,2,189516
52,Guttman Community College,Manhattan,SIM25,2,200685
53,Guttman Community College,Manhattan,SIM26,2,224142
54,Guttman Community College,Manhattan,SIM3,2,182978
55,Guttman Community College,Manhattan,SIM30,2,163229
56,Guttman Community College,Manhattan,SIM31,1,143118
57,Guttman Community College,Manhattan,SIM33C,1,414111
58,Guttman Community College,Manhattan,SIM3C,2,331816
59,Guttman Community College,Manhattan,SIM4C,1,483559
60,Guttman Community College,Manhattan,SIM8,2,388314
61,Guttman Community College,Manhattan,X27,1,489211
62,Guttman Community College,Manhattan,X28,1,489047
63,Guttman Community College,Manhattan,X37,1,225056
64,Guttman Community College,Manhattan,X38,1,197299
65,Medgar Evers College,Brooklyn,B43,2,1597726
66,Medgar Evers College,Brooklyn,B48,4,662344
67,Medgar Evers College,Brooklyn,B49,6,1944414
