campus_name,route_id,stop_count
Baruch College,BM1,17
Baruch College,BM2,17
Baruch College,BM3,17
Baruch College,BM4,17
Baruch College,BXM10,2
Baruch College,BXM6,2
Baruch College,BXM7,2
Baruch College,BXM8,2
Baruch College,BXM9,2
Baruch College,M1,5
Baruch College,M101,6
Baruch College,M102,6
Baruch College,M103,6
Baruch College,M2,5
Baruch College,M23+,16
Baruch College,M3,5
Baruch College,QM21,2
Baruch College,QM63,6
Baruch College,QM64,6
Baruch College,QM68,6
Baruch College,SIM10,18
Baruch College,SIM11,18
Baruch College,SIM1C,3
Baruch College,SIM3,20
Baruch College,SIM31,18
Baruch College,SIM33C,3
Baruch College,SIM3C,3
Baruch College,SIM4C,3
Baruch College,SIM6,18
Baruch College,X27,4
Baruch College,X28,1
Baruch College,X37,19
Baruch College,X38,19
Borough of Manhattan Community College,M20,9
Borough of Manhattan Community College,M22,7
Borough of Manhattan Community College,M9,2
Borough of Manhattan Community College,SIM33,4
Borough of Manhattan Community College,SIM7,4
Borough of Manhattan Community College,SIM9,4
Bronx Community College,BX3,5
Bronx Community College,BX40,4
Bronx Community College,BX42,4
Brooklyn College,B11,4
Brooklyn College,B49,10
Brooklyn College,B6,5
Brooklyn College,BM1,8
Brooklyn College,BM3,8
Brooklyn College,BM4,8
College of Staten Island,S62,8
College of Staten Island,S92,8
College of Staten Island,S93,4
College of Staten Island,SIM32,4
College of Staten Island,SIM33,2
College of Staten Island,SIM33C,2
Guttman Community College,BM1,3
Guttman Community College,BM2,3
Guttman Community College,BM3,3
Guttman Community College,BM4,3
Guttman Community College,BM5,3
Guttman Community College,BXM10,2
Guttman Community College,BXM11,3
Guttman Community College,BXM18,2
Guttman Community College,BXM2,2
Guttman Community College,BXM3,2
Guttman Community College,BXM4,2
Guttman Community College,BXM6,2
Guttman Community College,BXM7,2
Guttman Community College,BXM8,2
Guttman Community College,BXM9,2
Guttman Community College,M1,5
Guttman Community College,M2,4
Guttman Community College,M3,6
Guttman Community College,M4,7
Guttman Community College,M42,11
Guttman Community College,M5,8
Guttman Community College,M55,10
Guttman Community College,M7,4
Guttman Community College,Q32,4
Guttman Community College,QM1,2
Guttman Community College,QM10,2
Guttman Community College,QM12,2
Guttman Community College,QM15,2
Guttman Community College,QM16,2
Guttman Community College,QM17,2
Guttman Community College,QM18,2
Guttman Community College,QM2,2
Guttman Community College,QM20,2
Guttman Community College,QM24,2
Guttman Community College,QM4,2
Guttman Community College,QM5,2
Guttman Community College,QM6,2
Guttman Community College,QM63,1
Guttman Community College,QM64,1
Guttman Community College,QM68,1
