campus_name,borough,route_id,stop_count,total_ridership
Borough of Manhattan Community College,Manhattan,M20,9,487571
Borough of Manhattan Community College,Manhattan,M22,7,439653
Borough of Manhattan Community College,Manhattan,M9,2,1193381
Borough of Manhattan Community College,Manhattan,SIM33,4,109157
Borough of Manhattan Community College,Manhattan,SIM7,4,155064
Borough of Manhattan Community College,Manhattan,SIM9,4,90685
Bronx Community College,Bronx,BX3,5,1812001
Bronx Community College,Bronx,BX40,4,1116518
Bronx Community College,Bronx,BX42,4,1076825
Hostos Community College,Bronx,BX1,6,1869965
Hostos Community College,Bronx,BX13,1,1630029
Hostos Community College,Bronx,BX19,5,3005714
Hostos Community College,Bronx,BX2,5,1968148
Hostos Community College,Bronx,BX32,3,620509
Kingsborough Community College,Brooklyn,None,0,0
LaGuardia Community College,Queens,Q32,2,2408804
LaGuardia Community College,Queens,Q39,8,1081709
LaGuardia Community College,Queens,Q60,2,3434948
Queensborough Community College,Queens,Q27,2,4469973
Queensborough Community College,Queens,Q74,4,199312
Queensborough Community College,Queens,Q75,4,133596
Guttman Community College,Manhattan,BM1,3,258265
Guttman Community College,Manhattan,BM2,3,216993
Guttman Community College,Manhattan,BM3,3,187652
Guttman Community College,Manhattan,BM4,3,131756
Guttman Community College,Manhattan,BM5,3,198404
Guttman Community College,Manhattan,BXM10,2,479548
Guttman Community College,Manhattan,BXM11,3,324278
Guttman Community College,Manhattan,BXM18,2,59742
Guttman Community College,Manhattan,BXM2,2,218578
Guttman Community College,Manhattan,BXM3,2,221579
Guttman Community College,Manhattan,BXM4,2,132194
Guttman Community College,Manhattan,BXM6,2,218607
Guttman Community College,Manhattan,BXM7,2,731993
Guttman Community College,Manhattan,BXM8,2,471241
Guttman Community College,Manhattan,BXM9,2,518579
Guttman Community College,Manhattan,M1,5,2573060
Guttman Community College,Manhattan,M2,4,2128389
Guttman Community College,Manhattan,M3,6,2961938
Guttman Community College,Manhattan,M4,7,3580379
Guttman Community College,Manhattan,M42,11,2524345
Guttman Community College,Manhattan,M5,8,1731771
Guttman Community College,Manhattan,M55,10,575794
Guttman Community College,Manhattan,M7,4,2617369
Guttman Community College,Manhattan,Q32,4,2408804
Guttman Community College,Manhattan,QM1,2,57993
Guttman Community College,Manhattan,QM10,2,47033
Guttman Community College,Manhattan,QM12,2,56738
Guttman Community College,Manhattan,QM15,2,445248
Guttman Community College,Manhattan,QM16,2,110347
Guttman Community College,Manhattan,QM17,2,121072
Guttman Community College,Manhattan,QM18,2,39494
Guttman Community College,Manhattan,QM2,2,260196
Guttman Community College,Manhattan,QM20,2,204400
Guttman Community College,Manhattan,QM24,2,131152
Guttman Community College,Manhattan,QM4,2,120267
Guttman Community College,Manhattan,QM5,2,325376
Guttman Community College,Manhattan,QM6,2,167307
Guttman Community College,Manhattan,QM63,1,30976
Guttman Community College,Manhattan,QM64,1,14619
Guttman Community College,Manhattan,QM68,1,24691
Guttman Community College,Manhattan,SIM10,4,438147
Guttman Community College,Manhattan,SIM1C,2,1114532
Guttman Community College,Manhattan,SIM22,8,189516
Guttman Community College,Manhattan,SIM23,3,92867
Guttman Community College,Manhattan,SIM24,3,83788
Guttman Community College,Manhattan,SIM25,8,200685
Guttman Community College,Manhattan,SIM26,8,224142
Guttman Community College,Manhattan,SIM3,2,182978
Guttman Community College,Manhattan,SIM30,8,163229
Guttman Community College,Manhattan,SIM31,3,143118
Guttman Community College,Manhattan,SIM33C,1,414111
Guttman Community College,Manhattan,SIM3C,2,331816
Guttman Community College,Manhattan,SIM4C,1,483559
Guttman Community College,Manhattan,SIM8,8,388314
Guttman Community College,Manhattan,X27,2,489211
Guttman Community College,Manhattan,X28,2,489047
Guttman Community College,Manhattan,X37,2,225056
Guttman Community College,Manhattan,X38,2,197299
Medgar Evers College,Brooklyn,B43,2,1597726
Medgar Evers College,Brooklyn,B48,4,662344
Medgar Evers College,Brooklyn,B49,6,1944414
New York City College of Technology,Brooklyn,B103,6,2144266
New York City College of Technology,Brooklyn,B25,5,1219507
New York City College of Technology,Brooklyn,B26,7,1726824
New York City College of Technology,Brooklyn,B38,6,3381958
New York City College of Technology,Brooklyn,B41,4,3995947
New York City College of Technology,Brooklyn,B45,1,771828
New York City College of Technology,Brooklyn,B52,5,1899002
New York City College of Technology,Brooklyn,B54,4,1438165
New York City College of Technology,Brooklyn,B57,2,1531083
New York City College of Technology,Brooklyn,B62,3,1544007
New York City College of Technology,Brooklyn,B67,5,923583
College of Staten Island,Staten Island,S62,8,551778
College of Staten Island,Staten Island,S92,8,97930
College of Staten Island,Staten Island,S93,4,651619
College of Staten Island,Staten Island,SIM32,4,92394
College of Staten Island,Staten Island,SIM33,2,109157
College of Staten Island,Staten Island,SIM33C,2,414111
School of Labor and Urban Studies,Manhattan,BXM10,3,479548
School of Labor and Urban Studies,Manhattan,BXM11,2,324278
School of Labor and Urban Studies,Manhattan,BXM18,3,59742
School of Labor and Urban Studies,Manhattan,BXM2,3,218578
School of Labor and Urban Studies,Manhattan,BXM3,1,221579
School of Labor and Urban Studies,Manhattan,BXM4,1,132194
School of Labor and Urban Studies,Manhattan,BXM6,3,218607
School of Labor and Urban Studies,Manhattan,BXM7,3,731993
School of Labor and Urban Studies,Manhattan,BXM8,3,471241
School of Labor and Urban Studies,Manhattan,BXM9,3,518579
School of Labor and Urban Studies,Manhattan,M1,7,2573060
School of Labor and Urban Studies,Manhattan,M2,7,2128389
School of Labor and Urban Studies,Manhattan,M3,7,2961938
School of Labor and Urban Studies,Manhattan,M4,7,3580379
School of Labor and Urban Studies,Manhattan,M42,11,2524345
School of Labor and Urban Studies,Manhattan,M5,10,1731771
School of Labor and Urban Studies,Manhattan,M55,6,575794
School of Labor and Urban Studies,Manhattan,M7,6,2617369
School of Labor and Urban Studies,Manhattan,Q32,6,2408804
School of Labor and Urban Studies,Manhattan,QM1,2,57993
School of Labor and Urban Studies,Manhattan,QM10,1,47033
School of Labor and Urban Studies,Manhattan,QM12,1,56738
School of Labor and Urban Studies,Manhattan,QM15,1,445248
School of Labor and Urban Studies,Manhattan,QM16,1,110347
School of Labor and Urban Studies,Manhattan,QM17,1,121072
School of Labor and Urban Studies,Manhattan,QM18,1,39494
School of Labor and Urban Studies,Manhattan,QM2,2,260196
School of Labor and Urban Studies,Manhattan,QM20,2,204400
School of Labor and Urban Studies,Manhattan,QM21,1,34590
School of Labor and Urban Studies,Manhattan,QM24,1,131152
School of Labor and Urban Studies,Manhattan,QM4,3,120267
School of Labor and Urban Studies,Manhattan,QM5,2,325376
School of Labor and Urban Studies,Manhattan,QM6,2,167307
School of Labor and Urban Studies,Manhattan,SIM10,2,438147
School of Labor and Urban Studies,Manhattan,SIM1C,3,1114532
School of Labor and Urban Studies,Manhattan,SIM22,8,189516
School of Labor and Urban Studies,Manhattan,SIM23,5,92867
School of Labor and Urban Studies,Manhattan,SIM24,5,83788
School of Labor and Urban Studies,Manhattan,SIM25,9,200685
School of Labor and Urban Studies,Manhattan,SIM26,8,224142
School of Labor and Urban Studies,Manhattan,SIM3,3,182978
School of Labor and Urban Studies,Manhattan,SIM30,9,163229
School of Labor and Urban Studies,Manhattan,SIM31,1,143118
School of Labor and Urban Studies,Manhattan,SIM33C,2,414111
School of Labor and Urban Studies,Manhattan,SIM3C,3,331816
School of Labor and Urban Studies,Manhattan,SIM4C,2,483559
School of Labor and Urban Studies,Manhattan,SIM8,9,388314
School of Labor and Urban Studies,Manhattan,X27,3,489211
School of Labor and Urban Studies,Manhattan,X28,3,489047
School of Labor and Urban Studies,Manhattan,X37,3,225056
School of Labor and Urban Studies,Manhattan,X38,3,197299
School of Law,Queens,B32,2,256780
School of Law,Queens,B62,2,1544007
School of Law,Queens,Q101,6,860725
School of Law,Queens,Q102,2,612958
School of Law,Queens,Q103,2,374014
School of Law,Queens,Q39,2,1081709
School of Law,Queens,Q63,2,566499
School of Law,Queens,Q67,6,564107
The Graduate School and University Center,Manhattan,BM1,5,258265
The Graduate School and University Center,Manhattan,BM2,5,216993
The Graduate School and University Center,Manhattan,BM3,5,187652
The Graduate School and University Center,Manhattan,BM4,5,131756
The Graduate School and University Center,Manhattan,BM5,11,198404
The Graduate School and University Center,Manhattan,BXM10,3,479548
The Graduate School and University Center,Manhattan,BXM11,5,324278
The Graduate School and University Center,Manhattan,BXM18,2,59742
The Graduate School and University Center,Manhattan,BXM2,1,218578
The Graduate School and University Center,Manhattan,BXM3,3,221579
The Graduate School and University Center,Manhattan,BXM4,3,132194
The Graduate School and University Center,Manhattan,BXM6,2,218607
The Graduate School and University Center,Manhattan,BXM7,2,731993
The Graduate School and University Center,Manhattan,BXM8,2,471241
The Graduate School and University Center,Manhattan,BXM9,3,518579
The Graduate School and University Center,Manhattan,M1,10,2573060
The Graduate School and University Center,Manhattan,M2,10,2128389
The Graduate School and University Center,Manhattan,M3,12,2961938
The Graduate School and University Center,Manhattan,M34+,10,1507539
The Graduate School and University Center,Manhattan,M34A+,10,1485936
The Graduate School and University Center,Manhattan,M4,11,3580379
The Graduate School and University Center,Manhattan,M5,7,1731771
The Graduate School and University Center,Manhattan,M55,8,575794
The Graduate School and University Center,Manhattan,M7,2,2617369
The Graduate School and University Center,Manhattan,Q32,6,2408804
The Graduate School and University Center,Manhattan,QM1,3,57993
The Graduate School and University Center,Manhattan,QM10,4,47033
The Graduate School and University Center,Manhattan,QM12,4,56738
The Graduate School and University Center,Manhattan,QM15,3,445248
