campus_name,month,weekday,route_id,Violation Type,violation_count
Baruch College,April,Friday,M101,MOBILE BUS LANE,6
Baruch College,April,Friday,M101,MOBILE BUS STOP,56
Baruch College,April,Friday,M101,MOBILE DOUBLE PARKED,103
Baruch College,April,Friday,M15+,MOBILE BUS STOP,7
Baruch College,April,Friday,M23+,MOBILE BUS LANE,334
Baruch College,April,Friday,M23+,MOBILE BUS STOP,32
Baruch College,April,Monday,M101,MOBILE BUS LANE,8
Baruch College,April,Monday,M101,MOBILE BUS STOP,82
Baruch College,April,Monday,M101,MOBILE DOUBLE PARKED,86
Baruch College,April,Monday,M15+,MOBILE BUS LANE,2
Baruch College,April,Monday,M15+,MOBILE BUS STOP,3
Baruch College,April,Monday,M15+,MOBILE DOUBLE PARKED,1
Baruch College,April,Monday,M23+,MOBILE BUS LANE,127
Baruch College,April,Monday,M23+,MOBILE BUS STOP,17
Baruch College,April,Monday,M34+,MOBILE BUS STOP,1
Baruch College,April,Saturday,M101,MOBILE BUS STOP,41
Baruch College,April,Saturday,M101,MOBILE DOUBLE PARKED,22
Baruch College,April,Saturday,M15+,MOBILE BUS STOP,3
Baruch College,April,Saturday,M23+,MOBILE BUS LANE,121
Baruch College,April,Saturday,M23+,MOBILE BUS STOP,39
Baruch College,April,Sunday,M101,MOBILE BUS LANE,3
Baruch College,April,Sunday,M101,MOBILE BUS STOP,52
Baruch College,April,Sunday,M101,MOBILE DOUBLE PARKED,30
Baruch College,April,Sunday,M23+,MOBILE BUS LANE,51
Baruch College,April,Sunday,M23+,MOBILE BUS STOP,17
Baruch College,April,Thursday,M101,MOBILE BUS LANE,1
Baruch College,April,Thursday,M101,MOBILE BUS STOP,71
Baruch College,April,Thursday,M101,MOBILE DOUBLE PARKED,110
Baruch College,April,Thursday,M15+,MOBILE BUS STOP,1
Baruch College,April,Thursday,M15+,MOBILE DOUBLE PARKED,1
Baruch College,April,Thursday,M23+,MOBILE BUS LANE,256
Baruch College,April,Thursday,M23+,MOBILE BUS STOP,23
Baruch College,April,Thursday,M34+,MOBILE BUS STOP,1
Baruch College,April,Tuesday,M101,MOBILE BUS LANE,2
Baruch College,April,Tuesday,M101,MOBILE BUS STOP,52
Baruch College,April,Tuesday,M101,MOBILE DOUBLE PARKED,142
Baruch College,April,Tuesday,M15+,MOBILE BUS LANE,1
Baruch College,April,Tuesday,M15+,MOBILE BUS STOP,2
Baruch College,April,Tuesday,M15+,MOBILE DOUBLE PARKED,2
Baruch College,April,Tuesday,M23+,MOBILE BUS LANE,162
Baruch College,April,Tuesday,M23+,MOBILE BUS STOP,24
Baruch College,April,Wednesday,M101,MOBILE BUS LANE,3
Baruch College,April,Wednesday,M101,MOBILE BUS STOP,84
Baruch College,April,Wednesday,M101,MOBILE DOUBLE PARKED,144
