campus_name,borough,year,month,weekday,route_id,Violation Type,violation_count
Borough of Manhattan Community College,Manhattan,0,None,None,None,None,0
Bronx Community College,Bronx,0,None,None,None,None,0
Hostos Community College,Bronx,2025,April,Friday,BX19,MOBILE BUS LANE,12
Hostos Community College,Bronx,2025,April,Friday,BX19,MOBILE BUS STOP,30
Hostos Community College,Bronx,2025,April,Friday,BX19,MOBILE DOUBLE PARKED,2
Hostos Community College,Bronx,2025,April,Friday,BX6+,MOBILE BUS STOP,1
Hostos Community College,Bronx,2025,April,Friday,BX6+,MOBILE DOUBLE PARKED,1
Hostos Community College,Bronx,2025,April,Monday,BX19,MOBILE BUS LANE,11
Hostos Community College,Bronx,2025,April,Monday,BX19,MOBILE BUS STOP,31
Hostos Community College,Bronx,2025,April,Monday,BX19,MOBILE DOUBLE PARKED,3
Hostos Community College,Bronx,2025,April,Saturday,BX19,MOBILE BUS LANE,8
Hostos Community College,Bronx,2025,April,Saturday,BX19,MOBILE BUS STOP,30
Hostos Community College,Bronx,2025,April,Saturday,BX19,MOBILE DOUBLE PARKED,3
Hostos Community College,Bronx,2025,April,Sunday,BX19,MOBILE BUS LANE,7
Hostos Community College,Bronx,2025,April,Sunday,BX19,MOBILE BUS STOP,16
Hostos Community College,Bronx,2025,April,Sunday,BX19,MOBILE DOUBLE PARKED,13
Hostos Community College,Bronx,2025,April,Thursday,BX19,MOBILE BUS LANE,17
Hostos Community College,Bronx,2025,April,Thursday,BX19,MOBILE BUS STOP,29
Hostos Community College,Bronx,2025,April,Thursday,BX19,MOBILE DOUBLE PARKED,7
Hostos Community College,Bronx,2025,April,Thursday,BX6+,MOBILE BUS STOP,1
Hostos Community College,Bronx,2025,April,Tuesday,BX19,MOBILE BUS LANE,13
Hostos Community College,Bronx,2025,April,Tuesday,BX19,MOBILE BUS STOP,20
Hostos Community College,Bronx,2025,April,Tuesday,BX19,MOBILE DOUBLE PARKED,3
Hostos Community College,Bronx,2025,April,Tuesday,BX6+,MOBILE BUS STOP,1
Hostos Community College,Bronx,2025,April,Tuesday,BX6+,MOBILE DOUBLE PARKED,3
Hostos Community College,Bronx,2025,April,Wednesday,BX19,MOBILE BUS LANE,10
Hostos Community College,Bronx,2025,April,Wednesday,BX19,MOBILE BUS STOP,32
Hostos Community College,Bronx,2025,April,Wednesday,BX19,MOBILE DOUBLE PARKED,3
Hostos Community College,Bronx,2025,April,Wednesday,BX6+,MOBILE BUS STOP,2
Hostos Community College,Bronx,2025,April,Wednesday,BX6+,MOBILE DOUBLE PARKED,5
Hostos Community College,Bronx,2025,August,Friday,BX19,MOBILE BUS LANE,9
Hostos Community College,Bronx,2025,August,Friday,BX19,MOBILE BUS STOP,4
Hostos Community College,Bronx,2025,August,Friday,BX19,MOBILE DOUBLE PARKED,1
Hostos Community College,Bronx,2025,August,Monday,BX19,MOBILE BUS LANE,19
Hostos Community College,Bronx,2025,August,Monday,BX19,MOBILE BUS STOP,8
Hostos Community College,Bronx,2025,August,Monday,BX19,MOBILE DOUBLE PARKED,1
Hostos Community College,Bronx,2025,August,Saturday,BX19,MOBILE BUS LANE,8
Hostos Community College,Bronx,2025,August,Saturday,BX19,MOBILE BUS STOP,6
Hostos Community College,Bronx,2025,August,Saturday,BX19,MOBILE DOUBLE PARKED,1
Hostos Community College,Bronx,2025,August,Sunday,BX19,MOBILE BUS LANE,6
Hostos Community College,Bronx,2025,August,Sunday,BX19,MOBILE BUS STOP,6
Hostos Community College,Bronx,2025,August,Sunday,BX19,MOBILE DOUBLE PARKED,1
Hostos Community College,Bronx,2025,August,Thursday,BX19,MOBILE BUS LANE,8
Hostos Community College,Bronx,2025,August,Thursday,BX19,MOBILE BUS STOP,7
Hostos Community College,Bronx,2025,August,Tuesday,BX19,MOBILE BUS LANE,6
Hostos Community College,Bronx,2025,August,Tuesday,BX19,MOBILE BUS STOP,9
Hostos Community College,Bronx,2025,August,Tuesday,BX19,MOBILE DOUBLE PARKED,2
Hostos Community College,Bronx,2025,August,Wednesday,BX19,MOBILE BUS LANE,6
Hostos Community College,Bronx,2025,August,Wednesday,BX19,MOBILE BUS STOP,7
Hostos Community College,Bronx,2025,February,Friday,BX19,MOBILE BUS LANE,8
Hostos Community College,Bronx,2025,February,Friday,BX19,MOBILE BUS STOP,31
Hostos Community College,Bronx,2025,February,Friday,BX19,MOBILE DOUBLE PARKED,2
Hostos Community College,Bronx,2025,February,Friday,BX6+,MOBILE BUS STOP,1
